mode,expiry,archive,entry_date,holding_sessions,feature_end_date,signal_timestamp,entry_timestamp,trigger_timestamp,exit_timestamp,exit_reason,spot_at_signal,atm_strike,atm_call_close,atm_put_close,implied_move_points,implied_move_pct,expected_abs_realized_move_pct,vrp_ratio,trend_z,put_strike,call_strike,put_entry_market,call_entry_market,gross_entry_mark,put_entry_fill,call_entry_fill,net_entry_credit_points,put_exit_market,call_exit_market,put_exit_fill,call_exit_fill,net_exit_debit_points,pnl_points,lot_size,lots,pnl_rupees,capital_before,capital_after
filtered,2024-02-08,20240208.zip,2024-02-01,5,2024-01-31,2024-02-01 15:19:00,2024-02-01 15:20:00,2024-02-02 11:18:00,2024-02-02 11:19:00,stop_loss,21700.9,21700,166.65,161.35,328.0,0.015114580501269532,0.017122451251491984,0.8827346201352161,1.0121984115046334,21350,22050,51.65,46.55,98.19999999999999,51.39175,46.317249999999994,97.709,16.0,182.4,16.08,183.31199999999998,199.392,-101.68299999999999,50,3,-15252.449999999999,2000000.0,1984747.55
filtered,2024-02-15,20240215.zip,2024-02-08,5,2024-02-07,2024-02-08 15:19:00,2024-02-08 15:20:00,2024-02-12 10:05:00,2024-02-12 10:06:00,profit_target,21717.45,21700,223.4,143.5,366.9,0.016894248634162848,0.016924801816193435,0.9981947686973,0.5197378355267133,21350,22100,48.3,58.45,106.75,48.058499999999995,58.15775,106.21625,27.95,24.05,28.089749999999995,24.17025,52.25999999999999,53.95625000000001,50,3,8093.437500000002,1984747.55,1992840.9875
filtered,2024-02-22,20240222.zip,2024-02-15,5,2024-02-14,2024-02-15 15:19:00,2024-02-15 15:20:00,2024-02-21 13:49:00,2024-02-21 13:50:00,profit_target,21916.05,21900,204.8,120.5,325.3,0.014843003187161922,0.01681029404209504,0.8829710622546649,0.21391952373171214,21550,22250,36.0,52.7,88.7,35.82,52.4365,88.2565,2.05,41.95,2.0602499999999995,42.159749999999995,44.21999999999999,44.03650000000001,50,4,8807.300000000003,1992840.9875,2001648.2875
filtered,2024-06-13,20240613.zip,2024-06-06,5,2024-06-05,2024-06-06 15:19:00,2024-06-06 15:20:00,,2024-06-13 15:20:00,time_exit,22831.15,22850,235.5,219.15,454.65,0.019913582977642386,0.031199181683384637,0.6382726053436049,0.1474202312831166,22350,23300,68.5,67.8,136.3,68.1575,67.461,135.61849999999998,0.1,98.15,0.10049999999999999,98.64075,98.74125,36.87724999999999,25,5,4609.656249999999,2001648.2875,2006257.94375
filtered,2024-06-20,20240620.zip,2024-06-13,4,2024-06-12,2024-06-13 15:19:00,2024-06-13 15:20:00,2024-06-18 10:20:00,2024-06-18 10:21:00,profit_target,23403.9,23400,133.0,148.7,281.7,0.012036455462551112,0.02813207081583603,0.42785529516638293,0.5611755926892298,23100,23700,49.6,33.4,83.0,49.352000000000004,33.233,82.58500000000001,9.7,30.4,9.748499999999998,30.551999999999996,40.30049999999999,42.284500000000016,25,8,8456.900000000003,2006257.94375,2014714.84375
filtered,2024-06-27,20240627.zip,2024-06-20,5,2024-06-19,2024-06-20 15:19:00,2024-06-20 15:20:00,2024-06-25 09:29:00,2024-06-25 09:30:00,profit_target,23574.75,23550,159.35,123.25,282.6,0.011987401775204404,0.03139577950593936,0.38181570783858587,0.2796935625243056,23250,23900,40.9,29.7,70.6,40.695499999999996,29.5515,70.247,22.35,12.6,22.46175,12.662999999999998,35.12475,35.12225,25,8,7024.45,2014714.84375,2021739.29375
filtered,2024-07-04,20240704.zip,2024-06-27,5,2024-06-26,2024-06-27 15:19:00,2024-06-27 15:20:00,2024-07-01 13:05:00,2024-07-01 13:06:00,profit_target,24074.9,24050,163.3,162.4,325.70000000000005,0.013528612787592058,0.03111568289981076,0.4347843764558462,0.34682507727333034,23700,24450,58.35,27.7,86.05,58.05825,27.5615,85.61975,20.6,22.35,20.703,22.46175,43.16475,42.455,25,8,8491.0,2021739.29375,2030230.29375
filtered,2024-07-11,20240711.zip,2024-07-04,5,2024-07-03,2024-07-04 15:19:00,2024-07-04 15:20:00,2024-07-08 10:38:00,2024-07-08 10:39:00,profit_target,24309.1,24300,145.0,128.3,273.3,0.011242703349774365,0.0127999262917792,0.8783412570895064,1.1669793061385225,24000,24600,41.1,34.4,75.5,40.8945,34.228,75.1225,21.3,16.15,21.406499999999998,16.230749999999997,37.637249999999995,37.48525000000001,25,8,7497.050000000001,2030230.29375,2037727.34375
filtered,2024-08-22,20240822.zip,2024-08-14,5,2024-08-13,2024-08-14 15:19:00,2024-08-14 15:20:00,2024-08-20 09:47:00,2024-08-20 09:48:00,stop_loss,24149.85,24150,188.6,167.25,355.85,0.014735081170276422,0.017157526806250916,0.8588114905295129,0.20570704340516316,23750,24550,54.9,38.2,93.1,54.625499999999995,38.009,92.6345,2.6,188.05,2.613,188.99025,191.60325,-98.96875,25,7,-17319.53125,2037727.34375,2020407.8125
filtered,2024-08-29,20240829.zip,2024-08-22,5,2024-08-21,2024-08-22 15:19:00,2024-08-22 15:20:00,2024-08-28 09:30:00,2024-08-28 09:31:00,profit_target,24813.85,24800,160.75,115.45,276.2,0.01113088053647459,0.017878434777372523,0.6225869700049002,1.1722428535285385,24500,25100,34.8,41.1,75.9,34.626,40.8945,75.5205,2.35,35.6,2.36175,35.778,38.13975,37.38075,25,8,7476.15,2020407.8125,2027883.9625
filtered,2024-09-05,20240905.zip,2024-08-29,5,2024-08-28,2024-08-29 15:19:00,2024-08-29 15:20:00,2024-09-03 09:32:00,2024-09-03 09:33:00,profit_target,25134.0,25150,154.35,123.0,277.35,0.01103485318691812,0.016652184648810665,0.6626669965316685,0.5039757377000755,24850,25450,40.1,34.9,75.0,39.8995,34.7255,74.625,8.7,28.15,8.7435,28.290749999999996,37.03424999999999,37.59075000000001,25,8,7518.1500000000015,2027883.9625,2035402.1124999998
filtered,2024-10-17,20241017.zip,2024-10-10,5,2024-10-09,2024-10-10 15:19:00,2024-10-10 15:20:00,2024-10-14 09:19:00,2024-10-14 09:20:00,profit_target,25003.25,25000,189.9,154.85,344.75,0.013788207533020708,0.015344951691399888,0.8985500775964215,1.6170560571406327,24650,25350,55.2,53.15,108.35,54.924,52.88425,107.80825,24.0,29.2,24.119999999999997,29.345999999999997,53.465999999999994,54.34225000000001,25,6,8151.337500000001,2035402.1124999998,2043553.4499999997
filtered,2024-10-24,20241024.zip,2024-10-17,5,2024-10-16,2024-10-17 15:19:00,2024-10-17 15:20:00,2024-10-21 11:29:00,2024-10-21 11:30:00,profit_target,24749.85,24750,193.35,140.8,334.15,0.013501091925809651,0.014394560668584796,0.9379301137876974,0.13286728549454133,24400,25100,48.6,50.1,98.7,48.357,49.8495,98.2065,24.85,23.65,24.974249999999998,23.768249999999995,48.74249999999999,49.46400000000001,25,7,8656.200000000003,2043553.4499999997,2052209.6499999997
filtered,2024-12-05,20241205.zip,2024-11-28,5,2024-11-27,2024-11-28 15:19:00,2024-11-28 15:20:00,2024-12-03 13:33:00,2024-12-03 13:34:00,stop_loss,23929.2,23950,224.9,147.5,372.4,0.015562576266653293,0.016631312587150376,0.9357395085386823,1.6156423916470757,23550,24350,43.35,61.1,104.45,43.133250000000004,60.7945,103.92775,5.6,207.75,5.627999999999999,208.78874999999996,214.41674999999995,-110.48899999999995,25,7,-19335.57499999999,2052209.6499999997,2032874.0749999997
filtered,2024-12-19,20241219.zip,2024-12-12,5,2024-12-11,2024-12-12 15:19:00,2024-12-12 15:20:00,2024-12-13 10:32:00,2024-12-13 10:33:00,stop_loss,24554.0,24550,200.15,141.5,341.65,0.013914229860715157,0.015647699304872188,0.8892188934371148,0.3511799498234548,24200,24900,44.0,57.75,101.75,43.78,57.46125,101.24125000000001,185.8,19.7,186.72899999999998,19.798499999999997,206.52749999999997,-105.28624999999997,25,7,-18425.093749999993,2032874.0749999997,2014448.9812499997
filtered,2025-03-27,20250327.zip,2025-03-20,5,2025-03-19,2025-03-20 15:19:00,2025-03-20 15:20:00,2025-03-24 09:50:00,2025-03-24 09:51:00,stop_loss,23188.15,23200,134.3,138.0,272.3,0.011743067040708292,0.01367511826275292,0.8587177686567451,1.063393002018159,22900,23500,42.3,32.1,74.4,42.088499999999996,31.939500000000002,74.02799999999999,9.75,147.0,9.798749999999998,147.73499999999999,157.53375,-83.50575,75,2,-12525.862500000001,2014448.9812499997,2001923.1187499997
filtered,2025-04-03,20250403.zip,2025-03-27,4,2025-03-26,2025-03-27 15:19:00,2025-03-27 15:20:00,2025-03-28 15:07:00,2025-03-28 15:08:00,profit_target,23587.25,23600,199.05,124.85,323.9,0.013731995039693053,0.013919963537063035,0.9864964806215547,0.7889240067626412,23250,23950,40.4,60.5,100.9,40.198,60.1975,100.3955,34.35,16.2,34.52175,16.281,50.802749999999996,49.59275,75,2,7438.9125,2001923.1187499997,2009362.0312499998
filtered,2025-04-24,20250424.zip,2025-04-17,4,2025-04-16,2025-04-17 15:19:00,2025-04-17 15:20:00,2025-04-22 14:47:00,2025-04-22 14:48:00,profit_target,23850.15,23850,190.35,189.8,380.15,0.015939103108366194,0.02011013123183349,0.7925907058793961,1.5491124025421632,23450,24250,75.9,49.75,125.65,75.5205,49.50125,125.02175,7.35,51.4,7.386749999999999,51.657,59.043749999999996,65.97800000000001,75,1,4948.35,2009362.0312499998,2014310.3812499999
filtered,2025-04-30,20250430.zip,2025-04-24,4,2025-04-23,2025-04-24 15:19:00,2025-04-24 15:20:00,2025-04-28 09:29:00,2025-04-28 09:30:00,profit_target,24252.4,24250,207.5,182.0,389.5,0.01606026620045851,0.020403268887479807,0.7871418197264302,1.3920879348179505,23850,24650,69.55,55.75,125.3,69.20224999999999,55.47125,124.67349999999999,49.15,13.6,49.39574999999999,13.667999999999997,63.06374999999999,61.60975,75,1,4620.73125,2014310.3812499999,2018931.1124999998
filtered,2025-05-08,20250508.zip,2025-04-30,5,2025-04-29,2025-04-30 15:19:00,2025-04-30 15:20:00,2025-05-02 15:29:00,2025-05-02 15:30:00,profit_target,24322.45,24300,271.65,211.15,482.79999999999995,0.019849973995218408,0.022980679302814888,0.8637679388697181,0.2685487462729106,23800,24850,89.95,47.45,137.4,89.50025000000001,47.21275,136.71300000000002,49.75,18.1,49.998749999999994,18.1905,68.18924999999999,68.52375000000004,75,1,5139.281250000003,2018931.1124999998,2024070.3937499998
filtered,2025-05-22,20250522.zip,2025-05-15,5,2025-05-14,2025-05-15 15:19:00,2025-05-15 15:20:00,2025-05-20 09:15:00,2025-05-20 09:16:00,profit_target,25050.1,25050,188.4,207.1,395.5,0.015788360126306883,0.02115031130312448,0.7464835812593695,0.396033763398743,24650,25450,83.35,50.8,134.14999999999998,82.93325,50.546,133.47925,33.15,23.9,33.315749999999994,24.019499999999997,57.33524999999999,76.14400000000002,75,1,5710.800000000001,2024070.3937499998,2029781.1937499999
filtered,2025-05-29,20250529.zip,2025-05-22,5,2025-05-21,2025-05-22 15:19:00,2025-05-22 15:20:00,2025-05-26 09:45:00,2025-05-26 09:46:00,stop_loss,24614.8,24600,230.7,180.05,410.75,0.016687115068982888,0.0199386165794747,0.8369244176228863,0.21752559447520126,24200,25050,60.4,64.0,124.4,60.098,63.68,123.77799999999999,16.9,235.05,16.984499999999997,236.22525,253.20974999999999,-129.43175,75,1,-9707.38125,2029781.1937499999,2020073.8124999998
filtered,2025-06-05,20250605.zip,2025-05-29,5,2025-05-28,2025-05-29 15:19:00,2025-05-29 15:20:00,2025-06-03 14:34:00,2025-06-03 14:35:00,profit_target,24853.7,24850,209.55,198.15,407.70000000000005,0.01640399618567859,0.01962906478010335,0.8356993249268914,0.08022366251245808,24400,25300,48.6,62.7,111.30000000000001,48.357,62.386500000000005,110.74350000000001,46.9,9.2,47.134499999999996,9.245999999999999,56.3805,54.363000000000014,75,2,8154.450000000002,2020073.8124999998,2028228.2624999997
filtered,2025-06-12,20250612.zip,2025-06-05,5,2025-06-04,2025-06-05 15:19:00,2025-06-05 15:20:00,2025-06-11 09:15:00,2025-06-11 09:16:00,profit_target,24767.55,24750,207.9,165.9,373.8,0.015092328470115131,0.019761645360810206,0.7637182124543683,0.21630035756137908,24350,25150,50.25,60.0,110.25,49.99875,59.7,109.69875,2.4,52.6,2.4119999999999995,52.86299999999999,55.27499999999999,54.42375000000001,75,2,8163.562500000002,2028228.2624999997,2036391.8249999997
filtered,2025-09-09,20250909.zip,2025-09-02,5,2025-09-01,2025-09-02 15:19:00,2025-09-02 15:20:00,2025-09-05 10:58:00,2025-09-05 10:59:00,profit_target,24584.4,24600,143.3,122.35,265.65,0.010805632840337774,0.011367424145245452,0.9505788384659991,0.6950300836018286,24300,24900,37.65,35.9,73.55,37.461749999999995,35.7205,73.18225,9.65,27.15,9.69825,27.285749999999997,36.983999999999995,36.19825,75,2,5429.7375,2036391.8249999997,2041821.5624999998
filtered,2025-09-16,20250916.zip,2025-09-09,5,2025-09-08,2025-09-09 15:19:00,2025-09-09 15:20:00,2025-09-15 10:45:00,2025-09-15 10:46:00,profit_target,24868.0,24850,149.1,105.5,254.6,0.010238056940646613,0.010739815133570951,0.9532805558863,0.5025771215143632,24600,25150,36.45,34.3,70.75,36.26775,34.128499999999995,70.39625,2.65,32.1,2.6632499999999997,32.2605,34.92375,35.4725,75,2,5320.874999999999,2041821.5624999998,2047142.4374999998
